Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Mont-de-Marsan;Mont-de-Marsan France;43.893485;-0.499782;;;;;;;;
Arras;Arras France;50.291002;2.777535;;;;2000;La Voix du Nord;;;https://www.lavoixdunord.fr/1312801/article/2023-04-06/reforme-des-retraites-environ-2000-manifestants-dans-les-rues-d-arras-ce-jeudi
Aubenas;Aubenas France;44.620909;4.389863;;;2000;;;;;https://www.ledauphine.com/social/2023/04/06/greve-et-manifestations-en-drome-ardeche-operation-peage-gratuit-sur-l-a7-a-valence
Gap;Gap France;44.566667;6.083333;3000;;1000;;;;;https://www.ledauphine.com/social/2023/04/06/greves-et-manifs-dans-les-alpes-du-sud-quatre-rassemblements-a-gap-briancon-barcelonnette-et-digne-les-bains
Vichy;Vichy France;46.131859;3.425488;2000;intersyndicale;1200;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/gouvernement-inflexible-contre-intersyndicale-determinee-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14289594/
Draguignan;Draguignan France;43.5377269;6.464993;2000;;1000;;;;;https://www.24liveblog.com/live/UAdL1
Lons-le-Saunier;Lons-le-Saunier France;46.671361;5.550796;2000;;600;;;;;https://www.leprogres.fr/social/2023/04/06/2000-manifestants-a-lons-le-saunier-contre-la-reforme-des-retraites-la-mobilisation-se-maintient
Vienne;Vienne France;45.524875;4.872931;;;1300;;;;;https://www.ledauphine.com/social/2023/04/06/social-greve-et-manifestations-en-isere-suivez-en-direct-cette-onzieme-journee-de-mobilisation
Dinan;Dinan France;48.454366;-2.047327;;;;;;;;
Troyes;Troyes France;48.2924465;4.041115;2000;;1700;;;;;https://www.lest-eclair.fr/id472720/article/2023-04-06/direct-mobilisation-contre-la-reforme-des-retraites-troyes-et-romilly-les#
Guéret;Guéret France;46.169599;1.871452;2500;;1900;;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/gouvernement-inflexible-contre-intersyndicale-determinee-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14289594/
Montbéliard;Montbéliard France;47.510356;6.798466;2500;;2300;;;;;https://www.estrepublicain.fr/social/2023/04/06/reforme-des-retraites-suivez-l-acte-xi-de-la-mobilisation-en-franche-comte
Tulle;Tulle France;45.26565;1.771697;;;;1300;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/gouvernement-inflexible-contre-intersyndicale-determinee-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14289594/
Albertville;Albertville France;45.675535;6.392726;;;;;;;;
Vierzon;Vierzon France;47.221438;2.069791;2200;;1700;;;;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-en-direct-la-onzieme-journee-de-mobilisation_14289961/
Cholet;Cholet France;47.059407;-0.879787;;;;1900;Le Courrier de l'Ouest;;;
Aurillac;Aurillac France;44.930953;2.444997;;;1250;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/gouvernement-inflexible-contre-intersyndicale-determinee-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14289594/
Saint-Gaudens;Saint-Gaudens France;43.106895;0.7237629999999999;2500;CGT;;1200;La Dépêche;;;https://www.ladepeche.fr/2023/04/06/reforme-des-retraites-environ-1200-manifestants-a-saint-gaudens-11116856.php
Vendôme;Vendôme France;47.792551;1.065343;1500;intersyndicale;1200;;;;;https://www.lanouvellerepublique.fr/vendome/retraites-les-manifestants-ne-lacheront-pas-a-vendome-et-romorantin
Mende;Mende France;44.517611;3.501873;;;;;;;;
Carhaix;Carhaix France;48.275584;-3.574188;1400;CGT;900;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-11e-journee-de-mobilisation-les-syndicats-maintiennent-la-pression-3623f982-d42f-11ed-8b00-1728a73f4c85
