Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Lisieux;Lisieux France;49.145922;0.227849;2700;;2650;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-caen-lisieux-bayeux-ab3ee562-a138-11ed-b727-95140ec04a42
Granville;Granville France;48.837579;-1.597302;;;1900;;;;https://www.francebleu.fr/infos/economie-social/retraites-les-premieres-manifestations-debutent-dans-la-manche-9880441
Saint-Lô;Saint-Lô France;49.1154686;-1.0828136;;;2200;;;;https://www.francebleu.fr/infos/economie-social/retraites-les-premieres-manifestations-debutent-dans-la-manche-9880441
Laval;Laval France;48.0785146;-0.7669906;10000;Snudi-Fo 53;;;;;https://www.francebleu.fr/infos/societe/en-images-plusieurs-milliers-de-manifestants-a-laval-pour-demander-le-retrait-de-la-reforme-des-retraites-5634858
Dieppe;Dieppe France;49.922992;1.077483;8000;intersyndicale;4300;;;;https://www.paris-normandie.fr/id383899/article/2023-01-31/direct-greve-du-31-janvier-suivez-la-mobilisation-contre-la-reforme-des
Thouars;Thouars France;46.976154;-0.216803;;;;1700;La Nouvelle République;;https://www.lanouvellerepublique.fr/niort/reforme-des-retraites-quelle-mobilisation-dans-les-deux-sevres-mardi-31-janvier?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=6&pageId=57da5cf9459a4552008b4b23
Saint-Malo;Saint-Malo France;48.649337;-2.025674;3500;;3200;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-rennes-saint-malo-6c3b323c-a0aa-11ed-a11b-e98c72bb00dc
Ancenis;Ancenis France;47.365464;-1.177491;6500;;;5000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-nantes-saint-nazaire-e5583488-a0a2-11ed-be8f-4d2939631a03
Privas;Privas France;44.735269;4.599039;3000;;2600;;;;https://www.ledauphine.com/social/2023/01/31/manifestation-en-drome-ardeche-les-premiers-rassemblements-ont-lieu-ce-mardi-matin
Périgueux;Périgueux France;45.184029;0.7211149;8500;;7600;8500;Sud Ouest;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-31-janvier-suivez-les-temps-forts-de-la-mobilisation-13879722.php
Avignon;Avignon France;43.949317;4.805528;20000;;7600;;;;https://www.ledauphine.com/social/2023/01/31/greve-et-manifs-dans-le-vaucluse-suivez-la-journee-de-mobilisation
Argentan;Argentan France;48.744001;-0.016566;;;1900;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-alencon-argentan-flers-52d844be-a0ab-11ed-be8f-4d2939631a03
Tours;Tours France;47.394144;0.68484;20000;intersyndicale;15000;;;;https://www.lanouvellerepublique.fr/tours/direct-retraites-suivez-la-manifestation-de-ce-mardi-31-janvier-a-tours
Châteauroux;Châteauroux France;46.811434;1.686779;15000;intersyndicale;10500;;;;https://www.lanouvellerepublique.fr/chateauroux/reforme-des-retraites-suivez-en-direct-la-manifestation-a-chateauroux
