Ville;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Rouen;Rouen France;12000;CGT;4500;;;;https://www.paris-normandie.fr/id388769/article/2023-02-16/direct-reforme-des-retraites-en-normandie-une-cinquieme-journee-de-mobilisation | https://www.bfmtv.com/normandie/en-direct-greve-du-16-fevrier-en-normandie-cinquieme-journee-de-mobilisation-contre-la-reforme-des-retraites_LN-202302160025.htmlhttps://www.bfmtv.com/normandie/en-direct-greve-du-16-fevrier-en-normandie-cinquieme-journee-de-mobilisation-contre-la-reforme-des-retraites_LN-202302160025.html
Metz;Metz France;6500;CGT;3000;;;Entre 6000 et 8000 personnes selon la CGT Mozelle;
Le Mans;Le Mans France;16000;;4000;4000;Ouest France;;https://www.ouest-france.fr/economie/retraites/reforme-des-retraites-avec-les-vacances-une-mobilisation-moins-importante-d9527daa-adff-11ed-a7fa-81e9d82a996b
Quimper;Quimper France;3700;Intersyndicale;3000;3000;Ouest France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-jeudi-16-fevrier-suivez-les-manifestations-a-brest-quimper-445fef22-ad35-11ed-a71b-f0de2f009cfe
Avignon;Avignon France;5000;Intersyndicale;;;;;https://www.laprovence.com/article/region/175606008461916/direct-laprovence-reforme-des-retraites-cinq-corteges-en-provence-perturbations-dans-les-transports-toutes-nos-infos
Nancy;Nancy France;6000;;5000;;;;https://actu.fr/societe/reforme-des-retraites-voici-les-chiffres-des-manifestations-du-16-fevrier-a-metz-et-nancy_57448512.html
Dijon;Dijon France;7500;Intersyndicale;2600;;Le Bien Public;;https://www.bienpublic.com/social/2023/02/16/retraites-suivez-la-mobilisation-en-cote-d-or-ce-jeudi
Bayonne;Bayonne France;10000;;4300;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-16-fevrier-suivez-les-temps-forts-de-la-mobilisation-14072187.php
Amiens;Amiens France;3000;;1100;;;;https://www.francebleu.fr/infos/economie-social/en-images-entre-2700-et-5000-personnes-marchent-aux-flambeaux-dans-la-somme-contre-la-reforme-des-retraites-8002469
Pamiers;Pamiers France;;;;;;;
Pau;Pau France;6500;Intersyndicale;5200;5500;Sud Ouest;;https://www.sudouest.fr/pyrenees-atlantiques/pau/greve-du-16-fevrier-a-pau-5-500-manifestants-dans-la-rue-contre-la-reforme-des-retraites-14081591.php
Tours;Tours France;5000;;3500;;;;https://www.francebleu.fr/infos/societe/reforme-des-retraites-5000-manifestants-selon-la-cgt-a-tours-2200849
