Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Gien;47.6374513;2.7371902;750;CGT;700;730;République du Centre;;;https://www.larep.fr/orleans-45000/actualites/des-manifestations-prevues-ce-mardi-28-mars-contre-la-reforme-des-retraites-a-travers-le-loiret_14284521/
Mamoudzou;-12.78064;45.2326964;;;;;;;;
Nevers;46.990896;3.162845;;;;2000;Le Journal du Centre;;;https://www.lejdc.fr/nevers-58000/actualites/vivez-en-direct-avec-nous-la-dixieme-journee-de-mobilisation-contre-la-reforme-des-retraites-a-nevers_14285084/
Auxerre;47.798202;3.573781;5500;intersyndicale;2000;;;;;https://france3-regions.francetvinfo.fr/bourgogne-franche-comte/cote-d-or/dijon/direct-retraites-nouvelle-demonstration-de-force-ou-baroud-d-honneur-suivez-la-manifestation-du-28-mars-a-dijon-2741598.html
Saint-Denis, La Réunion;-20.8906596;55.4550536;2000;intersyndicale;;;;;;https://la1ere.francetvinfo.fr/reunion/des-manifestants-dans-les-rues-de-saint-denis-et-saint-pierre-contre-la-reforme-des-retraites-1379646.html
Saumur;47.260135;-0.080893;;;;;;;;
Saint-Dizier;48.637692;4.947418;3000;intersyndicale;1800;;;;;https://jhm.fr/reforme-des-retraites-les-haut-marnais-restent-mobilises/
Chaumont;48.113748;5.1392559;;;;850;JHM;;;https://jhm.fr/reforme-des-retraites-les-haut-marnais-restent-mobilises/
Langres;47.86683;5.334297;;;;600;JHM;;;https://jhm.fr/reforme-des-retraites-les-haut-marnais-restent-mobilises/
Eu;50.04887;1.419597;;;;;;;;
Marmande;44.500484;0.159869;;;;;;;;
Sarlat;44.890891;1.217292;;;;;;;;
Vitré;48.124746;-1.21543;;;;;;;;
Aix-en-Provence;43.529742;5.447427;;;;;;;;
Basse-Terre, Guadeloupe;15.9965719;-61.7317215;;;;;;;;
Fort-de-France, Martinique;14.6060576;-61.069884;;;650;;Radio RCI;;;https://www.rci.fm/martinique/infos/Social/Environ-650-manifestants-mobilises-Fort-de-France-contre-la-reforme-des-retraites
Cayenne, Guyane;4.9379774;-52.3354386;;;;;;;;
Chartres;48.443854;1.489012;;;;2200;L'Echo républicain;;;https://www.lechorepublicain.fr/chartres-28000/actualites/reforme-des-retraites-suivez-en-direct-la-dixieme-journee-de-mobilisation-en-eure-et-loir_14284682/
Ajaccio;41.919229;8.738635;;;;;;;;
Bastia;42.697283;9.450881;;;;;;;;
Soissons;49.376636;3.32342;;;;;;;;
Chateau-Thierry;49.0459869;3.40262;;;;;;;;
Maubeuge;50.280228;3.9674;;;;;;;;
Thouars;46.976154;-0.216803;;;;780;La Nouvelle République;;;https://www.lanouvellerepublique.fr/deux-sevres/direct-niort-des-centaines-de-manifestants-a-noron-contre-la-reforme-des-retraites
Saint-Omer;50.750115;2.252208;2000;intersyndicale;1100;;;;;https://www.lavoixdunord.fr/1308856/article/2023-03-28/direct-retraites-saint-omer-se-prepare-vivre-sa-huitieme-manifestation
Bressuire;46.84246;-0.492866;;;;700;La Nouvelle République;;;https://www.lanouvellerepublique.fr/deux-sevres/direct-niort-des-centaines-de-manifestants-a-noron-contre-la-reforme-des-retraites
Ploërmel;47.929254;-2.396846;;;500;2000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-manifestations-blocages-la-situation-a-lorient-vannes-pontivy-c5d25df4-cc9f-11ed-8144-e74efc02d2d3
Dax;43.708608;-1.051945;4000;intersyndicale;3000;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-28-mars-des-centaines-de-manifestants-se-retrouvent-a-dax-14594574.php
Pont-Audemer;49.354883;0.5142989;1000;intersyndicale;750;;;;;https://actu.fr/normandie/pont-audemer_27467/en-images-retraites-une-manifestation-moins-suivie-a-pont-audemer-mais-toujours-importante_58481378.html
Mayenne;48.303949;-0.618462;;;;;;;;
Le Creusot;46.80535099999999;4.4278;;;;;;;;
Montceau-les-Mines;46.67413;4.362979;3000;intersyndicale;;;;;;https://www.lejsl.com/social/2023/03/28/suivez-la-10e-journee-d-action-en-saone-et-loire
Thonon-les-Bains;46.373565;6.477635;;;;;;;;
Montbard;47.624329;4.337495;1300;CGT;;;;;;https://www.bienpublic.com/social/2023/03/28/dixieme-journee-de-mobilisation-en-cote-d-or-ce-qui-vous-attend-ce-mardi
La Tour du Pin;45.564026;5.445327;;;;;;;;
Cluny;46.428968;4.664555;;;;;;;;
Clermont l'Hérault;43.6323087;3.4017356;;;1000;;France 3 Occitanie;;;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/greve-du-28-mars-transports-ecoles-les-perturbations-a-montpellier-et-dans-la-region-ce-mardi-acte-10-de-la-lutte-contre-la-reforme-des-retraite-2741438.html
