Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Tarbes;43.232951;0.078082;6000;intersyndicale;2500;;;;;https://www.ladepeche.fr/2023/03/11/direct-reforme-des-retraites-manifestations-blocage-actions-suivez-la-septieme-journee-de-mobilisation-contre-le-projet-de-loi-11052915.php
Mulhouse;47.750839;7.335888;;;1500;2400;DNA;;2400 « au plus fort » de la manifestation selon les DNA.;https://www.dna.fr/social/2023/03/11/reforme-des-retraites-suivez-la-mobilisation-dans-le-haut-rhin-en-direct
Guéret;46.169599;1.871452;;;;600;La Montagne;;;https://www.lamontagne.fr/gueret-23000/actualites/a-gueret-environ-600-creusois-toujours-mobilises-contre-la-reforme-des-retraites_14275892/
Le Puy-en-Velay;45.042768;3.882936;;;1700;;;;;https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/direct-reforme-des-retraites-suivez-les-manifestations-du-samedi-11-mars-en-auvergne-2730422.html
Epinal;48.172402;6.449403;1200;;900;;;;;https://www.vosgesmatin.fr/social/2023/03/11/reforme-des-retraites-en-lorraine-suivez-cette-nouvelle-journee-de-greve
Périgueux;45.184029;0.7211149;2000;;1650;1700;Sud-Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/reforme-des-retraites-800-000-personnes-attendues-dans-la-rue-ce-samedi-vers-un-durcissement-du-mouvement-14376255.php
Carcassonne;43.2132151;2.3517703;1500;;1400;;;;;https://www.lindependant.fr/2023/03/11/carcassonne-1-500-dans-la-rue-pour-le-7e-acte-de-la-mobilisation-contre-la-reforme-des-retraites-11054599.php
Roanne;46.034432;4.072695;2000;;6400;;;;;https://www.leprogres.fr/social/2023/03/07/cinquieme-journee-de-mobilisation-contre-la-reforme-des-retraites-civa
Nice;43.7101728;7.2619532;8000;intersyndicale;2300;;;;;https://www.nicematin.com/greve-mouvements-sociaux/manifestations-contre-la-reforme-des-retraites-les-premiers-chiffres-de-la-mobilisation-dans-le-var-le-cortege-a-mi-parcours-a-nice-suivez-cette-journee-de-mobilisation-en-direct-833905
Nîmes;43.836699;4.360054;15000;CGT;;;;;;https://www.midilibre.fr/2023/03/11/nimes-suivez-la-7e-manifestation-contre-la-reforme-des-retraites-11054728.php
Amiens;49.894067;2.295753;;;;3500;Courrier Picard;;;https://www.courrier-picard.fr/id395343/article/2023-03-11/hauts-de-france-suivez-les-manifestations-contre-la-reforme-des-retraites-samedi
Montélimar;44.556944;4.749496;6000;;1700;;;;;https://www.francebleu.fr/infos/politique/en-direct-suivez-la-7e-journee-contre-la-reforme-des-retraites-en-drome-et-en-ardeche-3839781
Béziers;43.344233;3.215795;;;2000;;;;;https://www.midilibre.fr/2023/03/11/greve-du-11-mars-contre-la-reforme-des-retraites-mobilisation-slogans-images-suivez-la-manifestation-en-direct-11054699.php
