Ville;pays;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Dole;France;Dole France;47.09534;5.49081;3000;;2300;;;;https://actu.fr/bourgogne-franche-comte/dole_39198/dole-plus-de-2-300-personnes-mobilisees-contre-la-reforme-des-retraites_57196001.html
Lons-le-Saunier;France;Lons-le-Saunier France;46.671361;5.550796;;;;;;;
Chalon-sur-Saône;France;Chalon-sur-Saône France;46.780764;4.853947;8000;;6000;;Le Journal de Saône-et-Loire;;https://www.lejsl.com/social/2023/02/07/en-direct-les-saone-et-loiriens-mobilises-contre-la-reforme-des-retraites
Bar-le-Duc;France;Bar-le-Duc France;48.773605;5.158238;;;1300;;;;https://www.estrepublicain.fr/social/2023/02/07/greve-contre-la-reforme-des-retraites-suivez-la-journee-de-mobilisation-du-7-fevrier-en-lorraine
Aurillac;France;Aurillac France;44.930953;2.444997;1750;;1280;;La Montagne;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/reforme-des-retraites-suivez-en-direct-la-journee-de-mobilisation-en-auvergne-et-dans-le-limousin_14258492/
Brive;France;Brive France;45.159555;1.533937;;;;;;;
Ussel;France;Ussel France;45.548905;2.313835;;;;;;;
Moulins;France;Moulins France;46.568059;3.334417;3500;;2600;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/reforme-des-retraites-suivez-en-direct-la-journee-de-mobilisation-en-auvergne-et-dans-le-limousin_14258492/
Montluçon;France;Montluçon France;46.3415466;2.6019912;5000;intersyndicale;2500;3000;La Montagne;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/reforme-des-retraites-suivez-en-direct-la-journee-de-mobilisation-en-auvergne-et-dans-le-limousin_14258492/
Vichy;France;Vichy France;46.131859;3.425488;3000;intersyndicale;2300;;La Montagne;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/reforme-des-retraites-suivez-en-direct-la-journee-de-mobilisation-en-auvergne-et-dans-le-limousin_14258492/
Chartres;France;Chartres France;48.443854;1.489012;;;;;;;
Auch;France;Auch France;43.64638;0.586709;;;;;;;
Annecy;France;Annecy France;45.899247;6.129384;10000;CGT;5200;;;;https://www.ledauphine.com/social/2023/01/31/pays-de-savoie-suivez-la-deuxieme-journee-de-mobilisation-contre-les-retraites
Chambéry;France;Chambéry France;45.564601;5.917781;;;8000;;;;https://www.ledauphine.com/social/2023/01/31/pays-de-savoie-suivez-la-deuxieme-journee-de-mobilisation-contre-les-retraites
Albertville;France;Albertville France;45.675535;6.392726;4000;;2000;;;;https://www.ledauphine.com/social/2023/02/07/greves-et-manifs-en-pays-de-savoie-suivez-la-mobilisation-de-ce-mardi-7-fevrier
Saint-Jean-de-Maurienne;France;Saint-Jean-de-Maurienne France;45.275403;6.344886;;;;;;;
Digne-les-Bains;France;Digne-les-Bains France;44.092193;6.235976;4500;intersyndicale;2200;;La Provence;;https://www.laprovence.com/article/societe/1681147467654216/reforme-des-retraites-des-manifestants-moins-nombreux-que-la-semaine-derniere-en-provence-la-tendance-des-premiers-chiffres
Arles;France;Arles France;43.676647;4.6277769;2700;intersyndicale;1500;;La Provence;;https://www.laprovence.com/article/societe/1681147467654216/reforme-des-retraites-des-manifestants-moins-nombreux-que-la-semaine-derniere-en-provence-la-tendance-des-premiers-chiffres
Ajaccio;France;Ajaccio France;41.919229;8.738635;;;;;;;
Bastia;France;Bastia France;42.697283;9.450881;;;;;;;
Rodez;France;Rodez France;44.349389;2.575986;3000;intersyndicale;1600;;;;https://www.centrepresseaveyron.fr/2023/02/07/greve-du-7-fevrier-suivez-notre-direct-de-la-troisieme-journee-de-greve-contre-la-reforme-des-retraites-10980843.php
Mende;France;Mende France;44.517611;3.501873;1350;intersyndicale;500;;Midi libre;;https://www.midilibre.fr/2023/02/07/direct-perturbations-sncf-rendez-vous-des-manifestants-suivez-la-mobilisation-contre-la-reforme-des-retraites-10980721.php
Castres;France;Castres France;43.606214;2.241295;3000;intersyndicale;2000;;;;https://www.ladepeche.fr/2023/02/07/video-greve-du-7-fevrier-a-castres-entre-2000-et-3000-manifestants-ont-foule-le-pave-contre-la-reforme-des-retraites-10981280.php
Albi;France;Albi France;43.9250853;2.1486413;;;;;;;
Carcassonne;France;Carcassonne France;43.2132151;2.3517703;3000;intersyndicale;2200;;L'Indépendant;;https://www.lindependant.fr/2023/02/07/aude-troisieme-journee-de-mobilisation-contre-la-reforme-des-retraites-2-000-manifestants-a-narbonne-et-a-carcassonne-10981528.php
Narbonne;France;Narbonne France;43.184277;3.003078;2200;;1300;;;;https://www.lindependant.fr/2023/02/07/aude-reforme-des-retraites-des-manifestants-moins-nombreux-mais-une-volonte-qui-ne-faiblit-pas-10981686.php
Figeac;France;Figeac France;44.608288;2.032871;4500;CGT;3500;;actu.fr;;https://actu.fr/occitanie/cahors_46042/reforme-des-retraites-pres-de-7-000-manifestants-a-cahors-figeac-et-biars-sur-cere_57195782.html
Cahors;France;Cahors France;44.4475229;1.441989;3400;intersyndicale;2800;;;;https://actu.fr/occitanie/cahors_46042/reforme-des-retraites-pres-de-7-000-manifestants-a-cahors-figeac-et-biars-sur-cere_57195782.html
Gap;France;Gap France;44.566667;6.083333;;;;;;;
