Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Ancenis;Ancenis France;47.365464;-1.177491;;;3700;;;;;
Montluçon;Montluçon France;46.3415466;2.6019912;9000;;4000;5000;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/neuvieme-journee-de-mobilisations-contre-la-reforme-des-retraites-suivez-notre-direct_14282499/
Figeac;Figeac France;44.608288;2.032871;;;;;;;;
Compiègne;Compiègne France;49.417816;2.826145;;;;;;;;
Digne-les-Bains;Digne-les-Bains France;44.092193;6.235976;;;;;;;;
Moulins;Moulins France;46.568059;3.334417;6000;;;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/neuvieme-journee-de-mobilisations-contre-la-reforme-des-retraites-suivez-notre-direct_14282499/
Cahors;Cahors France;44.4475229;1.441989;;;;;;;;
Castres;Castres France;43.606214;2.241295;8000;;3000;;La Dépêche;;;https://www.ladepeche.fr/2023/03/23/direct-reforme-des-retraites-9e-journee-de-mobilisation-les-actions-se-multiplient-partout-en-france-11082176.php
Rodez;Rodez France;44.349389;2.575986;30000;intersyndicale;6500;;;;;https://france3-regions.francetvinfo.fr/occitanie/haute-garonne/toulouse/direct-reforme-des-retraites-les-mobilisations-a-toulouse-et-sa-region-2738394.html
Saint-Malo;Saint-Malo France;48.649337;-2.025674;;;;3000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/greve-du-23-mars-des-milliers-de-manifestants-a-saint-malo-mobilisation-en-hausse-a25b1ed4-c96a-11ed-b7b6-abe6ad8a6310
Vesoul;Vesoul France;47.619788;6.15428;;;;3000;Est Républicain;;;https://www.estrepublicain.fr/social/2023/03/23/reforme-des-retraites-environ-3-000-manifestants-a-vesoul-lors-de-la-9e-mobilisation-qui-a-ete-emaillee-d-incidents
Lisieux;Lisieux France;49.145922;0.227849;;;;;;;;
Bergerac;Bergerac France;44.853806;0.483392;;;;;;;;
Chateaubriant;Chateaubriant France;47.720948;-1.3762239;;;1600;3000;Ouest France;;;
Laon;Laon France;49.564133;3.61989;;;;;;;;
Aurillac;Aurillac France;44.930953;2.444997;3000;;2600;;;;;
Fougères;Fougères France;48.3515609;-1.204626;;;;;;;;
Thouars;Thouars France;46.976154;-0.216803;;;;1200;Ouest France;;;https://www.ouest-france.fr/economie/retraites/video-manifestation-du-23-mars-1-200-personnes-mobilisees-a-thouars-189108c0-2f3e-4356-866b-2cda1c1a017c
Gien;Gien France;47.6374513;2.7371902;;;;;;;;
Mamoudzou;Mamoudzou France;-12.78064;45.2326964;;;;;;;;
Troyes;Troyes France;48.2924465;4.041115;4200;intersyndicale;3800;;;;;
Dunkerque;Dunkerque France;51.0343684;2.3767763;10000;intersyndicale;;;;;;
Nevers;Nevers France;46.990896;3.162845;;;;2800;Journal du Centre;;;https://www.lejdc.fr/nevers-58000/actualites/vivez-en-direct-avec-nous-la-neuvieme-journee-de-mobilisation-contre-la-reforme-des-retraites-a-nevers_14282541/
Cholet;Cholet France;47.059407;-0.879787;4000;;4000;;;;;
Auxerre;Auxerre France;47.798202;3.573781;;;;;;;;
Saint-Denis, La Réunion;Saint-Denis, La Réunion France;-20.8906596;55.4550536;;;;;;;;
Saumur;Saumur France;47.260135;-0.080893;;;2100;;;;;
Saint-Gaudens;Saint-Gaudens France;43.106895;0.7237629999999999;3000;;1600;;La Gazette du Comminges;;;https://www.ladepeche.fr/2023/03/23/reforme-des-retraites-plus-de-2-000-manifestants-dans-le-cortege-de-saint-gaudens-11083630.php
Saint-Dizier;Saint-Dizier France;48.637692;4.947418;;;;;;;;
Chaumont;Chaumont France;48.113748;5.1392559;;;;;;;;
Epernay;Epernay France;49.043411;3.956242;2400;;1600;;;;;https://www.francebleu.fr/infos/economie-social/en-images-la-mobilisation-contre-la-reforme-des-retraites-se-poursuit-a-reims-3961710
Langres;Langres France;47.86683;5.334297;;;;;;;;
Eu;Eu France;50.04887;1.419597;;;;;;;;
Marmande;Marmande France;44.500484;0.159869;;;;;;;;
Sarlat;Sarlat France;44.890891;1.217292;;;;;;;;
Vitré;Vitré France;48.124746;-1.21543;;;;;;;;
Aix-en-Provence;Aix-en-Provence France;43.529742;5.447427;;;;;;;;
Basse-Terre, Guadeloupe;Basse-Terre, Guadeloupe France;15.9965719;-61.7317215;;;;;;;;
Fort-de-France, Martinique;Fort-de-France, Martinique France;14.6060576;-61.069884;;;;;;;;
Cayenne, Guyane;Cayenne, Guyane France;4.9379774;-52.3354386;;;;;;;;
