Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Châtellerault;Châtellerault France;46.816487;0.548146;;;;2700;La Nouvelle République;;https://www.lanouvellerepublique.fr/niort/niort-deja-de-nombreux-manifestants-contre-la-reforme-des-retraites
Thouars;Thouars France;46.976154;-0.216803;2000;;1400;;;;https://www.lanouvellerepublique.fr/niort/niort-deja-de-nombreux-manifestants-contre-la-reforme-des-retraites
Carhaix;Carhaix France;48.27558399999999;-3.574188;;;;2000;Le Télégramme;;https://www.letelegramme.fr/finistere/carhaix/plusieurs-centaines-de-personnes-dans-les-rues-de-carhaix-contre-le-projet-de-reforme-des-retraites-19-01-2023-13261685.php
Pontivy;Pontivy France;48.066152;-2.967056;3000;;2000;;;;https://actu.fr/bretagne/pontivy_56178/pontivy-pres-de-2500-personnes-mobilisees-dans-les-rues-contre-la-reforme-des-retraites_56729522.html
Foix;Foix France;42.964127;1.605232;11000;;5000;;;;https://www.ladepeche.fr/2023/01/19/greve-du-19-janvier-une-mobilisation-historique-en-ariege-avec-plus-de-6-000-personnes-dans-les-rues-10937890.php
Saint-Gaudens;Saint-Gaudens France;43.106895;0.7237629999999999;3500;;3000;;;;https://www.ladepeche.fr/2023/01/19/direct-greve-du-19-janvier-contre-la-reforme-des-retraites-manifestations-debats-suivez-la-journee-de-mobilisation-10934958.php
Marmande;Marmande France;44.500484;0.159869;;;;1000;Sud Ouest;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-19-janvier-a-agen-la-place-fallieres-est-noire-de-monde-13731882.php
Chaumont;Chaumont France;48.113748;5.1392559;;;;1500;JHM;;https://jhm.fr/
Montélimar;Montélimar France;44.556944;4.749496;6000;;4200;;;;https://www.francebleu.fr/infos/economie-social/premiere-journee-de-mobilisation-contre-la-reforme-des-retraites-en-drome-ardeche-5796021
Beauvais;Beauvais France;49.42953869999999;2.0807123;;;;7500;Actu Oise;;https://actu.fr/societe/greve-du-19-janvier-suivez-en-direct-les-manifestations-dans-l-oise_56713571.html
Compiègne;Compiègne France;49.41781599999999;2.826145;;;;3500;Oise Hebdo;;https://www.oisehebdo.fr/2023/01/19/compiegne-entre-3-000-et-3-500-personnes-manifestation-contre-reforme-retraites/
Draguignan;Draguignan France;43.5377269;6.464993;;;2400;;;;https://www.francebleu.fr/infos/societe/greve-contre-la-reforme-des-retraites-suivez-les-mobilisations-dans-les-bouches-du-rhone-et-le-var-9198240
