Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Brive;France;Brive France;;;;1700;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/400-000-a-600-000-manifestants-attendus-en-france-pour-cette-12e-journee-de-mobilisation-suivez-notre-direct_14293137/
Angers;France;Angers France;5000;intersyndicale;3500;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-13-avril-dans-le-maine-et-loire-8651cd28-d90f-11ed-a8f2-3d52644ec35b
Chambéry;France;Chambéry France;6000;intersyndicale;2500;;Le Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/04/13/manifs-et-greves-en-pays-de-savoie-suivez-toutes-les-mobilisaton-de-ce-jeudi-13-avril
Angoulême;France;Angoulême France;;;;;;;;
Le Puy-en-Velay;France;Le Puy-en-Velay France;4000;intersyndicale;1900;;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/400-000-a-600-000-manifestants-attendus-en-france-pour-cette-12e-journee-de-mobilisation-suivez-notre-direct_14293137/
Périgueux;France;Périgueux France;2500;;;1600;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-13-avril-1-600-manifestants-a-perigueux-contre-la-reforme-des-retraites-14777796.php
La Rochelle;France;La Rochelle France;;;;2500;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-13-avril-en-charente-maritime-pour-nous-c-est-la-mere-des-batailles-clame-t-on-a-la-rochelle-14781653.php
Metz;France;Metz France;4000;intersyndicale;2000;;France Bleu;;;https://www.francebleu.fr/infos/economie-social/en-images-reforme-des-retraites-entre-2-000-et-4-000-manifestants-a-metz-500-a-sarreguemines-8335470
Saint-Nazaire;France;Saint-Nazaire France;10000;Intersyndicale;4500;7500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-manifestations-du-13-avril-rassemblements-blocages-a-nantes-saint-nazaire-5969c472-d924-11ed-a8f2-3d52644ec35b
Beauvais;France;Beauvais France;4500;;1050;;;;;https://actu.fr/hauts-de-france/beauvais_60057/greve-du-13-avril-plus-de-4-000-manifestants-a-beauvais-cet-apres-midi_58917781.html
Tours;France;Tours France;4000;intersyndicale;3000;;La Nouvelle République;;;https://www.lanouvellerepublique.fr/tours/indre-et-loire-une-douzieme-journee-de-mobilisation-coloree
Lorient;France;Lorient France;6000;intersyndicale;4100;;Le Télégramme;;;https://www.letelegramme.fr/morbihan/lorient/direct-une-nouvelle-journee-de-mobilisation-a-lorient-13-04-2023-13317086.php
Quimper;France;Quimper France;6000;intersyndicale;;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-manifestations-blocages-le-point-a-brest-quimper-jeudi-13-avril-0177b28e-d932-11ed-b175-4c5fc605e272
Besançon;France;Besançon France;4000;intersyndicale;;;L'Est Républicain;;;https://www.estrepublicain.fr/social/2023/04/13/reforme-des-retraites-suivez-l-acte-xii-de-la-mobilisation-partout-en-franche-comte
Charleville-Mézières;France;Charleville-Mézières France;5000;CGT;;;L'Union;;;https://www.lunion.fr/id474849/article/2023-04-13/mobilisation-contre-la-reforme-des-retraites-des-blocages-au-petit-matin-dans
Blois;France;Blois, France;4500;intersyndicale;2200;;La Nouvelle République;;;https://www.lanouvellerepublique.fr/a-la-une/direct-retraites-suivez-la-douzieme-journee-de-mobilisation-contre-la-reforme
Saint-Brieuc;France;Saint-Brieuc France;5500;intersyndicale;2400;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-13-avril-des-manifestations-a-saint-brieuc-lannion-guingamp-6d2ba338-d94f-11ed-a8f2-3d52644ec35b
Châteauroux;France;Châteauroux France;3750;;1700;;;;Entre 3 500 et 4 000 manifestants selon les syndicats.;https://www.francebleu.fr/infos/economie-social/les-opposants-a-la-reforme-des-retraites-dans-le-berry-ont-rendez-vous-pour-une-12e-journee-de-mobilisation-8865572
Niort;France;Niort France;;;;3500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-13-avril-sur-la-reforme-des-retraites-suivez-les-defiles-a-niort-bressuire-5bda430a-d774-11ed-9f12-77288ee4cf70
Lannion;France;Lannion France;1750;intersyndicale;1750;;Ouest France;;L’intersyndicale et la police sont d’accord pour estimer la participation entre 1 500 et 2 000 personnes à Lannion.;https://www.ouest-france.fr/economie/retraites/direct-greve-du-13-avril-des-manifestations-a-saint-brieuc-lannion-guingamp-6d2ba338-d94f-11ed-a8f2-3d52644ec35b
Boulogne-sur-Mer;France;Boulogne-sur-Mer France;;;;1200;La Voix du Nord;;;https://www.lavoixdunord.fr/1315503/article/2023-04-13/direct-retraites-derniere-mobilisation-ce-jeudi-la-veille-du-verdict-du-conseil
Evreux;France;Evreux France;4000;;1300;;;;;https://www.paris-normandie.fr/id405535/article/2023-04-13/entre-1-300-et-4-000-personnes-ont-defile-dans-les-rues-devreux-contre-la
Morlaix;France;Morlaix France;2500;intersyndicale;1200;1500;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/reforme-des-retraites-a-morlaix-1-500-personnes-rassemblees-pour-la-manifestation-du-13-avril-35fa3996-d9d7-11ed-abda-5edc1b0bb3e8
Laval;France;Laval France;4250;intersyndicale;1900;3500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-13-avril-suivez-la-mobilisation-contre-la-reforme-des-retraites-en-mayenne-4a6efd50-d944-11ed-a8f2-3d52644ec35b
Dunkerque;France;Dunkerque France;;;;1250;La Voix du Nord;;;https://www.lavoixdunord.fr/1315503/article/2023-04-13/direct-retraites-derniere-mobilisation-ce-jeudi-la-veille-du-verdict-du-conseil
Mulhouse;France;Mulhouse France;;;;;;;;
Epinal;France;Epinal France;3000;;1800;;;;;https://www.vosgesmatin.fr/social/2023/04/13/reformes-des-retraites-l-acte-xii-avant-le-verdict-du-conseil-constitionnel
Annonay;France;Annonay France;4000;;1300;;;;;https://www.ledauphine.com/social/2023/04/13/entre-1-300-et-4-000-manifestants-pour-la-12e-journee-de-mobilisation-contre-la-reforme-des-retraites
Montluçon;France;Montluçon France;2000;;1400;;;;;https://www.lamontagne.fr/montlucon-03100/actualites/entre-lassitude-et-lutte-acharnee-la-douzieme-journee-de-manifestation-a-montlucon_14293982/
Bourges;France;Bourges France;4000;intersyndicale;1600;;Le Berry;;;https://www.leberry.fr/bourges-18000/actualites/la-douzieme-journee-de-mobilisation-contre-la-reforme-des-retraites-dans-le-cher-sera-t-elle-la-derniere-en-direct_14293159/
Bourgoin-Jallieu;France;Bourgoin-Jallieu France;1500;intersyndicale;1000;;;;;https://www.ledauphine.com/social/2023/04/13/greves-et-manifs-en-isere-suivez-la-12e-journee-de-mobilisation-en-direct#542571b3-2ea5-4cef-8371-31edb9c81e40
Auch;France;Auch France;3500;;800;;;;;https://www.ladepeche.fr/2023/04/13/video-entre-850-et-3500-manifestants-ont-defile-a-auch-pour-le-xiie-acte-contre-la-reforme-des-retraites-11130796.php
Castres;France;Castres France;3500;intersyndicale;1300;;La depeche;;;https://www.ladepeche.fr/2023/04/13/direct-manifestations-contre-la-reforme-des-retraites-les-francais-appeles-dans-la-rue-pour-la-12e-fois-suivez-la-mobilisation-11128786.php
Belfort;France;Belfort France;1000;intersyndicale;;;;;;https://www.estrepublicain.fr/social/2023/04/13/reforme-des-retraites-suivez-l-acte-xii-de-la-mobilisation-partout-en-franche-comte
Vannes;France;Vannes France;;;;1500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-13-avril-suivez-la-journee-de-mobilisation-a-lorient-a-vannes-a-pontivy-d68ce3a0-d841-11ed-8d82-b6c0f24c6e0e
Narbonne;France;Narbonne France;3000;intersyndicale;1800;;L'indépendant;;;https://www.lindependant.fr/2023/04/13/narbonne-3000-manifestants-selon-les-syndicats-dans-la-rue-pour-cette-12-e-manifestation-11131084.php
Reims;France;Reims France;3500;intersyndicale;1300;;L'Union;;;https://www.lunion.fr/id474884/article/2023-04-13/reims-top-depart-pourla-manifestation
Carcassonne;France;Carcassonne France;1600;;1300;;;;;https://www.lindependant.fr/2023/04/13/reformes-des-retraites-dans-laude-a-carcassonne-des-manifestants-moins-nombreux-mais-toujours-determines-11131197.php#
Montélimar;France;Montélimar France;2000;FO;1400;;Le Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/04/13/greve-et-manifestations-en-drome-ardeche-suivez-les-mobilisations-dans-nos-villes#0aca2de2-9416-4c40-8e61-8d971e638420
Annecy;France;Annecy France;2500;;1000;;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-nouvelle-journee-de-mobilisation-en-savoie-et-en-haute-savoie-2428193
Agen;France;Agen France;1300;intersyndicale;1000;;;;;https://www.petitbleu.fr/2023/04/13/reformes-des-retraites-une-faible-mobilisation-pour-un-temps-pluvieux-11130364.php
