Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Montluçon;Montluçon France;46.3415466;2.6019912;5000;;3000;3500;La Montagne;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/reforme-des-retraites-4e-journee-d-action-les-syndicats-veulent-frapper-un-grand-coup-ce-samedi_14261338/
Béziers;Béziers France;43.344233;3.215795;12000;Intersyndicale;10000;;;;
Mulhouse;Mulhouse France;47.750839;7.335888;5000;CFDT;4500;;;;https://www.dna.fr/social/2023/02/11/haut-rhin-une-nouvelle-journee-de-mobilisation-contre-la-reforme-des-retraites
Figeac;Figeac France;44.608288;2.032871;;;;;;;
Compiègne;Compiègne France;49.417816;2.826145;5000;;3500;;;;https://www.paris-normandie.fr/videos/a_la_une/manifestation-contre-la-reforme-des-retraites-a-compiegne-le-11-fevrier-2023?param01=q8xv3z5&param02=01338879&param03=1#:~:text=D%C3%A9connexion%20Accueil%20Vid%C3%A9os-,Manifestation%20contre%20la%20r%C3%A9forme%20des%20retraites%20%C3%A0%20Compi%C3%A8gne%20le%2011,entre%203.500%20et%205.000%20personnes.
Boulogne-sur-Mer;Boulogne-sur-Mer France;50.725231;1.613334;13000;CGT;3500;;;;https://www.lavoixdunord.fr/1290459/article/2023-02-11/retraites-forte-mobilisation-dans-le-nord-et-le-pas-de-calais-au-moins-30-000
Digne-les-Bains;Digne-les-Bains France;44.092193;6.235976;;;;;;;
Mont-de-Marsan;Mont-de-Marsan France;43.893485;-0.499782;4500;;3500;;;;
Dieppe;Dieppe France;49.922992;1.077483;2500;;1400;;;;https://www.paris-normandie.fr/id387384/article/2023-02-11/direct-reforme-des-retraites-suivez-la-mobilisation-en-normandie-samedi-11
Vierzon;Vierzon France;47.221438;2.069791;;;;;;;
Albertville;Albertville France;45.675535;6.392726;3000;;1200;;;;
Alençon;Alençon France;48.432856;0.091266;4000;Intersyndicale;2200;;;;
Montbéliard;Montbéliard France;47.510356;6.798466;3500;;;;;;
Moulins;Moulins France;46.568059;3.334417;;;;2500;La Montagne;;https://twitter.com/MontagneMoulins/status/1624416375262396419
Aubenas;Aubenas France;44.620909;4.389863;;;;;;;
Bagnols-sur-Cèze;Bagnols-sur-Cèze France;44.16252;4.620075;4500;Intersyndicale;1500;;;;
Cahors;Cahors France;44.4475229;1.441989;3000;Inersyndicale;2800;;;;
Bourgoin-Jallieu;Bourgoin-Jallieu France;45.597108;5.27212;;;;;;;
Agen;Agen France;44.203142;0.616363;5000;Intersyndicale;3100;;;;
Dole;Dole France;47.09534;5.49081;3000;;2200;;;;
Vichy;Vichy France;46.131859;3.425488;5000;Intersyndicale;1200;;;;
Châtellerault;Châtellerault France;46.816487;0.548146;;;;;;;
Carcassonne;Carcassonne France;43.2132151;2.3517703;6000;;;;;;
Castres;Castres France;43.606214;2.241295;6000;Intersyndicale;;;;;
Rodez;Rodez France;44.349389;2.575986;22500;;8000;;;;
Draguignan;Draguignan France;43.5377269;6.464993;;;;;;;
Arles;Arles France;43.676647;4.6277769;;;;;;;
Saint-Malo;Saint-Malo France;48.649337;-2.025674;4000;;2600;;;;
